graph_id,source_node,target_node,label,feature_0,feature_1,feature_2,feature_3
0,0,1,1,1.0,0.0,0.0,0.0
0,0,5,1,1.0,0.0,0.0,0.0
0,1,0,1,1.0,0.0,0.0,0.0
0,1,2,1,1.0,0.0,0.0,0.0
0,2,1,1,1.0,0.0,0.0,0.0
0,2,3,1,1.0,0.0,0.0,0.0
0,3,2,1,1.0,0.0,0.0,0.0
0,3,4,1,1.0,0.0,0.0,0.0
0,3,9,1,1.0,0.0,0.0,0.0
0,4,3,1,1.0,0.0,0.0,0.0
0,4,5,1,1.0,0.0,0.0,0.0
0,4,6,1,1.0,0.0,0.0,0.0
0,5,0,1,1.0,0.0,0.0,0.0
0,5,4,1,1.0,0.0,0.0,0.0
0,6,4,1,1.0,0.0,0.0,0.0
0,6,7,1,1.0,0.0,0.0,0.0
0,7,6,1,1.0,0.0,0.0,0.0
0,7,8,1,1.0,0.0,0.0,0.0
0,8,7,1,1.0,0.0,0.0,0.0
0,8,9,1,1.0,0.0,0.0,0.0
0,8,13,1,1.0,0.0,0.0,0.0
0,9,3,1,1.0,0.0,0.0,0.0
0,9,8,1,1.0,0.0,0.0,0.0
0,9,10,1,1.0,0.0,0.0,0.0
0,10,9,1,1.0,0.0,0.0,0.0
0,10,11,1,1.0,0.0,0.0,0.0
0,11,10,1,1.0,0.0,0.0,0.0
0,11,12,1,1.0,0.0,0.0,0.0
0,12,11,1,1.0,0.0,0.0,0.0
0,12,13,1,1.0,0.0,0.0,0.0
0,12,14,1,0.0,1.0,0.0,0.0
0,13,8,1,1.0,0.0,0.0,0.0
0,13,12,1,1.0,0.0,0.0,0.0
0,14,12,1,0.0,1.0,0.0,0.0
0,14,15,1,0.0,0.0,1.0,0.0
0,14,16,1,0.0,1.0,0.0,0.0
0,15,14,1,0.0,0.0,1.0,0.0
0,16,14,1,0.0,1.0,0.0,0.0
1,0,1,0,1.0,0.0,0.0,0.0
1,0,9,0,1.0,0.0,0.0,0.0
1,1,0,0,1.0,0.0,0.0,0.0
1,1,2,0,1.0,0.0,0.0,0.0
1,2,1,0,1.0,0.0,0.0,0.0
1,2,3,0,1.0,0.0,0.0,0.0
1,2,7,0,1.0,0.0,0.0,0.0
1,3,2,0,1.0,0.0,0.0,0.0
1,3,4,0,1.0,0.0,0.0,0.0
1,4,3,0,1.0,0.0,0.0,0.0
1,4,5,0,1.0,0.0,0.0,0.0
1,5,4,0,1.0,0.0,0.0,0.0
1,5,6,0,1.0,0.0,0.0,0.0
1,6,5,0,1.0,0.0,0.0,0.0
1,6,7,0,1.0,0.0,0.0,0.0
1,7,2,0,1.0,0.0,0.0,0.0
1,7,6,0,1.0,0.0,0.0,0.0
1,7,8,0,1.0,0.0,0.0,0.0
1,8,7,0,1.0,0.0,0.0,0.0
1,8,9,0,1.0,0.0,0.0,0.0
1,8,10,0,0.0,1.0,0.0,0.0
1,9,0,0,1.0,0.0,0.0,0.0
1,9,8,0,1.0,0.0,0.0,0.0
1,10,8,0,0.0,1.0,0.0,0.0
1,10,11,0,0.0,0.0,1.0,0.0
1,10,12,0,0.0,1.0,0.0,0.0
1,11,10,0,0.0,0.0,1.0,0.0
1,12,10,0,0.0,1.0,0.0,0.0
2,0,1,1,1.0,0.0,0.0,0.0
2,0,5,1,1.0,0.0,0.0,0.0
2,1,0,1,1.0,0.0,0.0,0.0
2,1,2,1,1.0,0.0,0.0,0.0
2,2,1,1,1.0,0.0,0.0,0.0
2,2,3,1,1.0,0.0,0.0,0.0
2,3,2,1,1.0,0.0,0.0,0.0
2,3,4,1,1.0,0.0,0.0,0.0
2,3,12,1,0.0,1.0,0.0,0.0
2,4,3,1,1.0,0.0,0.0,0.0
2,4,5,1,1.0,0.0,0.0,0.0
2,4,6,1,0.0,1.0,0.0,0.0
2,5,0,1,1.0,0.0,0.0,0.0
2,5,4,1,1.0,0.0,0.0,0.0
2,6,4,1,0.0,1.0,0.0,0.0
2,6,7,1,1.0,0.0,0.0,0.0
2,6,11,1,1.0,0.0,0.0,0.0
2,7,6,1,1.0,0.0,0.0,0.0
2,7,8,1,1.0,0.0,0.0,0.0
2,8,7,1,1.0,0.0,0.0,0.0
2,8,9,1,1.0,0.0,0.0,0.0
2,9,8,1,1.0,0.0,0.0,0.0
2,9,10,1,1.0,0.0,0.0,0.0
2,10,9,1,1.0,0.0,0.0,0.0
2,10,11,1,1.0,0.0,0.0,0.0
2,10,15,1,1.0,0.0,0.0,0.0
2,11,6,1,1.0,0.0,0.0,0.0
2,11,10,1,1.0,0.0,0.0,0.0
2,11,12,1,1.0,0.0,0.0,0.0
2,12,3,1,0.0,1.0,0.0,0.0
2,12,11,1,1.0,0.0,0.0,0.0
2,12,13,1,1.0,0.0,0.0,0.0
2,13,12,1,1.0,0.0,0.0,0.0
2,13,14,1,1.0,0.0,0.0,0.0
2,13,16,1,0.0,1.0,0.0,0.0
2,14,13,1,1.0,0.0,0.0,0.0
2,14,15,1,1.0,0.0,0.0,0.0
2,15,10,1,1.0,0.0,0.0,0.0
2,15,14,1,1.0,0.0,0.0,0.0
2,16,13,1,0.0,1.0,0.0,0.0
